,date,demand_mwh
838,2025-05-03,160987
839,2025-05-04,157308
840,2025-05-05,169653
841,2025-05-06,172917
842,2025-05-07,176881
843,2025-05-08,176003
844,2025-05-09,174105
845,2025-05-10,167332
846,2025-05-11,159527
847,2025-05-12,163082
848,2025-05-13,172591
849,2025-05-14,170212
850,2025-05-15,171991
851,2025-05-16,171087
852,2025-05-17,166077
853,2025-05-18,161351
854,2025-05-19,170893
855,2025-05-20,174475
856,2025-05-21,175987
857,2025-05-22,174619
858,2025-05-23,174395
859,2025-05-24,167785
860,2025-05-25,164883
861,2025-05-26,176403
862,2025-05-27,179033
863,2025-05-28,178618
864,2025-05-29,174008
865,2025-05-30,172540
866,2025-05-31,167046
867,2025-06-01,164174
868,2025-06-09,172272
869,2025-06-10,171799
870,2025-06-11,173351
871,2025-06-12,176823
872,2025-06-13,178604
873,2025-06-14,170300
874,2025-06-15,165708
875,2025-06-16,174276
876,2025-06-17,172607
877,2025-06-18,170497
878,2025-06-19,170512
879,2025-06-20,170698
880,2025-06-21,163222
881,2025-06-22,161612
882,2025-06-23,171161
883,2025-06-24,174298
884,2025-06-25,176048
885,2025-06-26,178157
886,2025-06-27,179287
887,2025-06-28,167910
888,2025-06-29,158621
889,2025-06-30,173816
890,2025-07-01,176060
891,2025-07-02,173220
892,2025-07-03,171439
893,2025-07-04,171279
894,2025-07-05,162751
895,2025-07-06,160457
896,2025-07-07,174172
897,2025-07-08,175202
898,2025-07-09,174025
899,2025-07-10,175118
900,2025-07-11,172639
901,2025-07-12,162065
902,2025-07-13,159219
903,2025-07-14,171182
904,2025-07-15,171750
905,2025-07-16,175243
906,2025-07-17,176949
907,2025-07-18,177416
908,2025-07-19,169515
909,2025-07-20,165120
910,2025-07-21,175237
911,2025-07-22,175608
912,2025-07-23,175253
913,2025-07-24,176209
914,2025-07-25,177619
915,2025-07-26,166707
916,2025-07-27,162854
917,2025-07-28,178290
918,2025-07-29,180694
919,2025-07-30,180711
920,2025-07-31,178234
921,2025-08-01,177914
922,2025-08-02,168218
923,2025-08-03,163703
924,2025-08-04,171058
925,2025-08-05,168580
926,2025-08-06,173036
927,2025-08-07,175244
928,2025-08-08,175101
929,2025-08-09,163798
930,2025-08-10,160166
931,2025-08-11,166629
932,2025-08-12,168647
933,2025-08-13,165888
934,2025-08-14,168818
935,2025-08-15,166367
936,2025-08-16,160538
937,2025-08-17,158442
938,2025-08-18,170506
939,2025-08-19,168864
940,2025-08-20,166429
941,2025-08-21,168048
942,2025-08-22,169880
943,2025-08-23,160163
944,2025-08-24,153758
945,2025-08-25,167462
946,2025-08-26,171926
947,2025-08-27,172988
948,2025-08-28,170570
949,2025-08-29,170240
950,2025-08-30,160102
951,2025-08-31,157878
952,2025-09-08,167006
953,2025-09-09,165725
954,2025-09-10,164509
955,2025-09-11,163374
956,2025-09-12,159993
957,2025-09-13,153743
958,2025-09-14,152578
959,2025-09-15,163423
960,2025-09-16,163962
961,2025-09-17,163582
962,2025-09-18,165923
963,2025-09-19,168376
964,2025-09-20,159620
965,2025-09-21,158011
966,2025-09-22,171398
967,2025-09-23,172410
968,2025-09-24,173698
969,2025-09-25,172172
970,2025-09-26,173916
971,2025-09-27,165813
972,2025-09-28,158734
973,2025-09-29,168827
974,2025-09-30,171067
975,2025-10-01,170729
976,2025-10-02,167400
977,2025-10-03,167038
978,2025-10-04,158394
979,2025-10-05,157535
980,2025-10-06,168768
981,2025-10-07,167768
982,2025-10-08,169812
983,2025-10-09,167974
984,2025-10-10,168156
985,2025-10-11,162835
986,2025-10-12,158131
987,2025-10-13,170442
988,2025-10-14,172877
989,2025-10-15,173314
990,2025-10-16,171547
991,2025-10-17,169922
992,2025-10-18,161070
993,2025-10-19,156813
994,2025-10-20,159802
995,2025-10-21,169660
996,2025-10-22,168363
997,2025-10-23,169039
998,2025-10-24,170184
999,2025-10-25,160326
1000,2025-10-26,159946
1001,2025-10-27,170032
1002,2025-10-28,172863
1003,2025-10-29,175379
1004,2025-10-30,176170
1005,2025-10-31,179145
1006,2025-11-01,171569
1007,2025-11-02,166932
1008,2025-11-03,171631
1009,2025-11-04,173819
1010,2025-11-05,174630
1011,2025-11-06,176082
1012,2025-11-07,176615
1013,2025-11-08,169804
1014,2025-11-09,166111
1015,2025-11-10,175938
1016,2025-11-11,176264
1017,2025-11-12,174159
1018,2025-11-13,172512
1019,2025-11-14,171596
1020,2025-11-15,162802
1021,2025-11-16,158686
1022,2025-11-17,168912
1023,2025-11-18,170234
1024,2025-11-19,169468
1025,2025-11-20,170420
1026,2025-11-21,169665
1027,2025-11-22,160905
1028,2025-11-23,157689
1029,2025-11-24,170998
1030,2025-11-25,171512
1031,2025-11-26,173137
1032,2025-11-27,173802
1033,2025-11-28,170467
1034,2025-11-29,160477
1035,2025-11-30,159303
1036,2025-12-01,172214
1037,2025-12-02,169040
1038,2025-12-03,167936
1039,2025-12-04,168541
1040,2025-12-05,166379
1041,2025-12-06,159636
1042,2025-12-07,155824
1043,2025-12-08,166332
1044,2025-12-09,166542
1045,2025-12-10,166877
1046,2025-12-11,166805
1047,2025-12-12,166865
1048,2025-12-13,156101
1049,2025-12-14,153126
1050,2025-12-15,162250
1051,2025-12-16,162191
1052,2025-12-17,161150
1053,2025-12-18,161903
1054,2025-12-19,162840
1055,2025-12-20,156783
1056,2025-12-21,153509
1057,2025-12-22,165229
1058,2025-12-23,166594
1059,2025-12-24,166370
1060,2025-12-25,158220
1061,2025-12-26,165887
1062,2025-12-27,158500
1063,2025-12-28,154432
1064,2025-12-29,163628
1065,2025-12-30,163317
1066,2025-12-31,161489
1067,2026-01-01,154464
1068,2026-01-02,163520
1069,2026-01-03,155967
1070,2026-01-04,151861
